x,y,codensity
-0.9561039211178998,-1.005909834335649,1.00110490603085
-0.5597666494021403,-0.9746697509701931,0.6554742907534381
-0.31726124508109615,1.268021466648043,0.42669503425711014
-0.2883658946632115,0.6868992328162786,0.035834944353068166
-0.2814667352904089,0.7410579196906001,0.04200890996067576
-0.2660974811946581,0.8722105392506305,0.09727858532121782
-0.23885142236254608,-1.3386213663923283,0.7248783983185015
-0.20533567385599905,0.531062017385144,0.018200059175522143
-0.04994058359840644,0.5915339730341005,-7.309260713065331e-05
0.008375600108381388,1.4369160699766474,0.569425346625894
0.19133553900291378,0.3042363660770607,0.11744647381039132
0.19961131985972855,0.11902648563594256,0.14912024039605648
0.22956809798380215,-0.9098594000575427,0.3731499920276654
0.24666803835189505,-0.1980022671025401,0.21925319532752682
0.738556707624492,-0.4714536211993753,0.402053966153151
0.7662792887425982,-0.8185920115090102,0.49034402516059855
0.7827950148925549,-0.8338558189478068,0.509557523311292
