x,y,codensity
-0.7548643686131123,0.7068503810068818,0.09932096415278739
-0.7502803348332896,-0.38603720191201757,0.11064914541955177
-0.6805831525029208,0.3382685194100571,0.05121377398974809
-0.6824905647010885,0.6200773180452971,0.04672626204725875
-0.6723180544455702,0.5983503461741674,0.04081744162110316
-0.6211184418606391,1.0293506398697,0.2645406603347386
-0.5898391525394961,0.7304446725206749,0.08060278045332045
-0.5284670296990467,-0.6811411177142487,0.08470258333410292
-0.44563084280719234,-0.2283895837334569,-3.1550485106341694e-05
-0.4417119433405204,-0.1781377875447656,0.006247434617361912
-0.43003838672964845,0.43524637955238854,0.04197162232454178
-0.4224256163453001,-0.6399310392465656,0.04419419873905778
-0.38849062381607397,-0.18313422574768656,0.005226863699285895
-0.2916073078051506,-0.1441620077649036,0.031972540766846747
-0.26814784081429344,0.33311680342839817,0.08478921497244875
-0.24514340658834502,-0.6709382719410699,0.0626128692580315
-0.2423670472546256,-0.6959694704628925,0.0745322441249351
0.130231659556884,-0.4649904425433161,0.1891456778554816
0.45181511166373794,0.3217915435017775,0.34194979730006064
0.95578917839836,0.2894336579971467,0.4326650312666251
1.071896885209093,0.6169620784800479,0.56205335995687
1.1500982808536668,-0.68869668397958,0.5731055959011808
1.174384671585198,0.3909834886725126,0.5257516862583136
1.6689991808580336,-0.35023249816885,0.7028662537366405
1.8523091465713384,-1.099115497899702,1.0017935638607447
