x,y,codensity
-0.9164538588748932,-1.0960002514497083,0.9398029795929909
-0.8569776969842712,-1.233087946918747,1.0002417551020362
-0.6472446110370029,-0.8294803657732819,0.6353721769883544
-0.6400386221185836,0.6958801194006048,0.5359310010374843
-0.43017531522288815,-1.183629772842782,0.7745648791096812
-0.4303783825434555,-0.07616829557518,0.40722843274815423
-0.19665831027915504,0.1597386555259998,0.21449374969858415
-0.11282712176874464,1.0900419113147004,0.37115918064353076
0.12162628386552278,1.16626526076287,0.38318618951137456
0.18823236501162152,1.1646407221983308,0.39187550088627965
0.3124726438678421,0.29673099409337444,-1.703678768400566e-05
0.3272125518700473,0.279321964251475,0.004242160133332112
0.3303367383939272,0.38990683097265705,0.015162930932630513
0.3543783545667458,0.26833849054495434,0.016509750402811434
0.7355144145038153,-0.42303331337612243,0.4974843262346502
0.780376671786084,-0.7494138222352886,0.747495343191174
1.080603894963387,0.07994881910614239,0.6148097883134191
